_place_id,_business,_city,title,address
ChIJZW_wW33Npw0RH8nG1MACfsQ,RMA Assurance,Casablanca,RMA Assurance_Siège Social Casablanca.,"Av. des FAR, Casablanca, Maroc"
ChIJl54keBjTpw0R2yatLm5l0CA,RMA Assurance,Casablanca,RMA Assurance,"32 Boulevard Bir Anzarane, Casablanca, Maroc"
ChIJQxgHxz7Tpw0ReYhop_EIA-w,RMA Assurance,Casablanca,RMA Assurance,"Hay El Hanaa, 25, Bd Sidi Abderrahman, Casablanca 20100, Maroc"
ChIJ_dppWPsspg0ROW9ZXdgyT6U,RMA Assurance,Casablanca,RMA INTEGRITE ASSURANCES,"12 Résidence KOUTOUBIA Nassim, Casablanca 20190, Maroc"
ChIJzZQFQq_Spw0RrJPQa93duKk,RMA Assurance,Casablanca,RMA Assurance,"153 Bd Moulay Idriss I, Casablanca 20250, Maroc"
ChIJYZPt0sMSpw0Rp6MTUn0WEa8,Wafa Assurance,Casablanca,Wafa Assurance_Siège Social,"1 Bd Abdelmoumen, Casablanca 20250, Maroc"
ChIJsaN84XPTpw0RSBas6LkPUNM,Wafa Assurance,Casablanca,Wafa Assurance,"Bd Yacoub El Mansour, Casablanca, Maroc"
ChIJX61X4WTNpw0RA8bu-N68czU,Wafa Assurance,Casablanca,Wafa Assurance,"H9VR+QCR, Rue Pierre Parent Quartier Fonciere, Casablanca, Casablanca 20100, Maroc"
ChIJYdUBqH0zpg0RQo15tcxuK9M,Wafa Assurance,Casablanca,Wafa Assurance,"74 Av. Abdelkader Essahraoui, Casablanca 20670, Maroc"
ChIJaTYIl6gtpg0RjHtYJaBWGx8,Wafa Assurance,Casablanca,Wafa Assurance,"Numéro 141 lot Moulat Thami Taha2 Quartier el Oulfa Hay Hassani Arrahma Sidi Maarouf Casa Anfa Laymoune Ain Diab, Casablanca 20220, Maroc"
ChIJmdau85fSpw0Rg0X4ArIPLPs,Axa Assurance Maroc,Casablanca,AXA Assurance,"120 Bd Hassan II, Casablanca 20250, Maroc"
ChIJWdmSoc4zpg0RsKOriINFfFY,Axa Assurance Maroc,Casablanca,Axa Assurance,"HC75+C7W, Casablanca, Maroc"
ChIJxWu60H3Tpw0R4tvDQAcAcv0,Axa Assurance Maroc,Casablanca,AXA Assurance,"73 Av. Houmane El Fetouaki, Casablanca 20080, Maroc"
ChIJoYZW7qktpg0RNxYFdjlrN4Y,Axa Assurance Maroc,Casablanca,Axa Assurance,"N 159, MLEK DANDOUNE, ROUTE SIDI MASOUD CT 1100, SIDI MAAROUF, 1100 Route Sidi Maarouf, Casablanca, Maroc"
ChIJkUyJUeYzpg0R3REPRLOXOYk,Axa Assurance Maroc,Casablanca,"AXA Assurances Maroc, Bureau Direct Afriquia, Casablanca.","386 Av. Al Wahda Al Ifriquia, Casablanca, Maroc"
