Business,Casablanca,Marrakesh,Tangier,Rabat,Agadir,Fes,Salé,Temara,CASABLANCA,Meknes,Mohammedia,Kenitra,Oujda,Tetouan,Essaouira
Al Barid Bank,2.15,3.85,2.97,2.5,1.67,3.12,1.92,2.36,,1.38,1.53,4.17,1.67,3.14,4.38
Attijariwafa Bank,2.25,1.71,2.2,2.14,1.86,3.28,2.25,1.8,,1.69,1.88,2.52,1.67,1.8,2.21
Banque Populaire,2.11,2.04,2.32,2.05,2.31,3.95,2.23,2.66,,2.3,1.88,2.46,2.59,2.25,1.9
Bmce Bank Of Africa,1.94,2.25,2.5,1.9,2.13,2.47,3.15,2.33,,2.29,2.72,2.69,2.09,4.2,2.55
Bmci,2.13,1.89,2.52,1.84,2.7,2.67,2.21,,,2.38,1.78,1.93,2.5,1.75,2.69
CIH Bank,,,,,,,,,,,,,1.33,,
Cfg Bank,2.72,2.98,3.0,3.02,,4.0,,,,,,,,,
Cih Bank,1.68,1.58,1.66,1.76,2.12,2.05,1.96,1.65,,1.64,1.41,1.84,1.55,1.75,2.18
Crédit Agricole,2.88,,4.08,2.58,3.06,2.75,3.37,4.0,,,3.0,3.71,3.0,3.5,
Crédit Du Maroc,2.61,2.03,2.52,1.98,1.97,3.05,3.11,1.92,,3.27,2.85,2.2,2.17,2.57,3.2
Saham Bank,1.56,1.48,2.84,2.18,2.18,3.75,,2.2,2.09,,,,2.17,1.67,1.71
