Business,1★ %,2★ %,3★ %,4★ %,5★ %
Crédit Agricole,33.004926108374384,4.433497536945813,8.866995073891626,10.83743842364532,42.857142857142854
Al Barid Bank,44.50867052023121,4.335260115606936,5.780346820809249,6.213872832369942,39.16184971098266
Cfg Bank,45.83333333333333,6.481481481481481,1.8518518518518516,3.7037037037037033,42.129629629629626
Banque Populaire,52.925877763329,3.6844386649328134,7.368877329865627,8.539228435197225,27.481577806675332
Crédit Du Maroc,50.638977635782744,5.7507987220447285,8.945686900958465,11.022364217252397,23.642172523961662
Bmce Bank Of Africa,57.73938084953204,3.5277177825773935,5.615550755939525,6.695464362850973,26.421886249100073
Attijariwafa Bank,61.80387409200968,3.571428571428571,5.084745762711865,7.142857142857142,22.397094430992738
Bmci,61.79401993355482,3.322259136212625,7.142857142857142,10.96345514950166,16.77740863787375
Saham Bank,65.32485875706215,3.1779661016949152,5.649717514124294,6.1440677966101696,19.703389830508474
Cih Bank,75.67801001900155,3.178441872516842,3.8003109345310073,4.111245465538089,13.231991708412508
CIH Bank,85.0,0.0,3.3333333333333335,3.3333333333333335,8.333333333333332
